date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:51	666226/666226	---M-Z	200	added ('OK')	text/html	etag:W/%226c5f1fa752221c4ee6a606f44fd666ad--gzip%22	https://www.innoforeveryone.org/	C:/Users/navee/Downloads/InnovForEveryoneCLone/www.innoforeveryone.org/index.html	(from )
11:04:51	383/383	---M-Z	200	added ('OK')	text/plain	date:Sat,%2003%20Aug%202024%2015:04:51%20GMT	https://www.innoforeveryone.org/robots.txt		(from )
11:04:51	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2003%20Aug%202024%2015:04:51%20GMT	http://static1.squarespace.com/static/668c388c858c7f07c98763ea/t/668f3eb16a6414762903aef1/1720663729229/Capitol+Post+-+2.png?format=1500w	C:/Users/navee/Downloads/InnovForEveryoneCLone/static1.squarespace.com/static/668c388c858c7f07c98763ea/t/668f3eb16a6414762903aef1/1720663729229/Capitol+Post+-+2.026f7.delayed	(from https://www.innoforeveryone.org/)
11:04:53	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.innoforeveryone.org/)
11:04:53	17379/17379	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Aug%202024%2015:04:52%20GMT	http://use.typekit.net/ik/DOwkao8r8rM0svuKF6XJ9EQyGUIzS4Orv6BM4wqixDjfeGMgfFHN4UJLFRbh52jhWDjh5ewD52yR529tjDicw2iR5Q6aFRF8jsGMJ6uy-asTiKu1ScNXZWFnJyF3ScB1dABX-AFyOAmtiem0ZemqH6qJXeXbMg6IJMJ7fbRAdsMMeM96MKGHfVAMMyMgeMS6MKGHfVPMMyMgegI6MTMgxZAvlMj.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/use.typekit.net/ik/DOwkao8r8rM0svuKF6XJ9EQyGUIzS4Orv6BM4wqixDjfeGMgfFHN4UJLFRbh52jhWDjh5ewD52yR529tjDicw2iR5Q6aFRF8jsGMJ6uy-asTiKu1ScNXZWFnJyF3ScB1dABX-AFyOAmtiem0ZemqH6qJXeXbMg6IJMJ7fbRAds	(from https://www.innoforeveryone.org/)
11:04:56	46138/46138	---M-Z	200	added ('OK')	text/javascript	etag:%2214977ec5d48753f436aec1fa1cd00e43%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a507ea5ecce2516bf35f-min.en-US.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a507ea5ecce2516bf35f-min.en-US.js	(from https://www.innoforeveryone.org/)
11:04:59	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.innoforeveryone.org/)
11:04:59	90771/90771	---M-Z	200	added ('OK')	text/javascript	etag:%22b4a755c7e39d57314f0f0e17de3a6f69%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	(from https://www.innoforeveryone.org/)
11:05:12	246250/246250	---M-Z	200	added ('OK')	text/javascript	etag:%22f52dee3814f1fd8bd40fd36b55bc291e%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0f51b06fac4ba1f7c845-min.en-US.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0f51b06fac4ba1f7c845-min.en-US.js	(from https://www.innoforeveryone.org/)
11:05:14	1196461/1196461	---M-Z	200	added ('OK')	text/javascript	etag:%2244c95d815bcfc0ec58a7bb00d1c6bd81%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-dfbb72c875564c27a00c-min.en-US.js	C:/Users/navee/Downloads/InnovForEveryoneCLone/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-dfbb72c875564c27a00c-min.en-US.js	(from https://www.innoforeveryone.org/)
